 
 
 
Job Number: 19-D0966 WL 0494109             State/Country: AB                                                                       
Company: Ridgeback Resources                Declination: 14.10°                         
Lease/Well: Ridgeback Hz Lochend            Grid: True                                  
Location: 7-13-26-3                         File name: C:\WINSERVE\966-SP1.SVY          
Rig Name: Horizon 23                        Date/Time: 09-Nov-19 / 01:10                
RKB: 1224.69                                Curve Name: Surveys                         
G.L. or M.S.L.: 1219                        
 
 
 
                            Pacesetter Directional Drilling                             
 
 
 
                              WINSERVE SURVEY CALCULATIONS                              
                                Minimum Curvature Method                                
                            Vertical Section Plane   286.63                             
      Vertical Section Referenced to offset from Wellhead: EW =.00  m , NS=.00  m       
                     Rectangular Coordinates Referenced to Wellhead                     
 
 
 
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
    2553.92      89.99     298.01    2095.40     652.87    -536.17     700.59       6.67    -870.71
                                                                                        
    2563.64      89.93     297.29    2095.41     657.38    -544.78     710.13       2.23    -870.72
    2573.18      89.69     298.07    2095.44     661.81    -553.22     719.49       2.57    -870.75
    2582.69      89.72     296.67    2095.49     666.19    -561.67     728.83       4.42    -870.80
    2592.17      89.81     295.83    2095.53     670.38    -570.17     738.18       2.67    -870.84
    2601.63      90.22     295.08    2095.53     674.44    -578.71     747.53       2.71    -870.84
                                                                                        
    2611.05      90.93     293.91    2095.43     678.35    -587.29     756.86       4.36    -870.74
    2620.52      90.90     293.57    2095.28     682.16    -595.95     766.25       1.08    -870.59
    2630.01      90.69     293.53    2095.15     685.95    -604.65     775.67        .68    -870.46
    2639.53      90.89     292.47    2095.02     689.67    -613.41     785.13       3.40    -870.33
    2649.13      91.74     290.89    2094.80     693.22    -622.33     794.69       5.61    -870.11
                                                                                        
    2658.84      92.10     290.53    2094.47     696.65    -631.41     804.37       1.57    -869.78
    2668.30      92.94     290.14    2094.06     699.93    -640.27     813.80       2.94    -869.37
    2677.72      93.19     289.65    2093.55     703.13    -649.12     823.20       1.75    -868.86
    2687.26      93.34     289.46    2093.01     706.32    -658.09     832.71        .76    -868.32
    2696.93      91.90     287.75    2092.57     709.40    -667.25     842.36       6.93    -867.88
                                                                                        
    2707.41      92.46     287.82    2092.17     712.60    -677.22     852.83       1.62    -867.48
    2717.02      92.58     287.22    2091.75     715.49    -686.37     862.43       1.91    -867.06
    2726.48      90.79     286.67    2091.47     718.25    -695.42     871.89       5.94    -866.78
    2735.91      89.39     284.91    2091.45     720.81    -704.49     881.31       7.15    -866.76
    2745.40      89.99     284.52    2091.50     723.23    -713.67     890.80       2.26    -866.82
                                                                                        
    2754.85      91.10     284.13    2091.42     725.56    -722.83     900.24       3.73    -866.73
    2764.32      91.64     284.02    2091.19     727.87    -732.01     909.70       1.75    -866.50
