Depth	Gamma
2461.60	74.20
2461.80	75.20
2462.00	74.93
2462.20	73.60
2462.40	74.67
2462.60	75.89
2462.80	77.26
2463.00	78.63
2463.20	80.00
2463.40	80.00
2463.60	80.40
2463.80	81.20
2464.00	79.60
2464.20	78.80
2464.40	78.00
2464.60	76.00
2464.80	73.07
2465.00	72.80
2465.20	73.60
2465.40	73.60
2465.60	68.80
2465.80	67.60
2466.00	76.80
2466.20	78.80
2466.40	78.00
2466.60	75.20
2466.80	74.67
2467.00	77.60
2467.20	78.00
2467.40	79.60
2467.60	77.80
2467.80	76.80
2468.00	75.20
2468.20	73.20
2468.40	74.00
2468.60	73.20
2468.80	74.40
2469.00	77.60
2469.20	78.74
2469.40	79.89
2469.60	81.03
2469.80	84.00
2470.00	83.68
2470.20	83.36
2470.40	81.40
2470.60	79.20
2470.80	78.00
2471.00	76.80
2471.20	76.53
2471.40	78.00
2471.60	80.50
2471.80	81.50
2472.00	81.87
2472.20	81.60
2472.40	81.60
2472.60	81.60
2472.80	81.60
2473.00	80.27
2473.20	79.28
2473.40	78.64
2473.60	78.00
2473.80	72.60
2474.00	69.60
2474.20	72.80
2474.40	68.80
2474.60	70.40
2474.80	70.40
2475.00	75.20
2475.20	81.20
2475.40	80.00
2475.60	62.40
2475.80	64.00
2476.00	65.60
2476.20	67.20
2476.40	72.40
2476.60	74.27
2476.80	73.60
2477.00	73.33
2477.20	73.40
2477.40	74.80
2477.60	75.20
2477.80	73.60
2478.00	74.20
2478.20	73.80
2478.40	75.00
2478.60	77.04
2478.80	78.32
2479.00	79.60
2479.20	79.20
2479.40	78.80
2479.60	77.73
2479.80	76.40
2480.00	77.20
2480.20	76.80
2480.40	76.27
2480.60	75.20
2480.80	75.20
2481.00	75.47
2481.20	75.47
2481.40	75.20
2481.60	75.84
2481.80	76.48
2482.00	76.40
2482.20	75.60
2482.40	74.00
2482.60	72.70
2482.80	71.70
2483.00	70.40
2483.20	70.80
2483.40	72.80
2483.60	75.80
2483.80	75.20
2484.00	72.50
2484.20	70.30
2484.40	68.07
2484.60	65.80
2484.80	63.53
2485.00	62.90
2485.20	63.90
2485.40	65.47
2485.60	67.60
2485.80	72.80
2486.00	72.00
2486.20	72.20
2486.40	71.47
2486.60	68.80
2486.80	67.60
2487.00	66.27
2487.20	65.77
2487.40	66.11
2487.60	66.46
2487.80	66.80
2488.00	68.40
2488.20	70.00
2488.40	71.47
2488.60	72.80
