Depth	ROP	Gas
2364.8	4.28	142.26
2365	4.28	144.83
2365.2	0.71	144.96
2365.4	0.65	145.06
2365.6	0.62	145.11
2365.8	0.58	145.17
2366	0.57	145.23
2366.2	0.57	145.33
2366.4	0.58	145.41
2366.6	0.58	145.44
2366.8	0.58	145.52
2367	0.58	145.6
2367.2	0.58	145.63
2367.4	0.58	145.7
2367.6	0.57	145.77
2367.8	0.57	148.28
2368	0.57	148.33
2368.2	0.57	152.39
2368.4	0.57	156.53
2368.6	0.57	156.7
2368.8	0.56	159.22
2369	0.56	159.36
2369.2	0.55	160.08
2369.4	0.51	164.6
2369.6	0.50	176.73
2369.8	0.50	182.61
2370	0.49	183.57
2370.2	0.49	186.53
2370.4	0.49	189.54
2370.6	0.49	193.75
2370.8	0.49	189.24
2371	1.56	172.32
2371.2	5.00	130.12
2371.4	5.00	120.23
2371.6	5.88	116.29
2371.8	3.67	113.55
2372	2.65	113.61
2372.2	2.16	116.17
2372.4	2.08	116.33
2372.6	1.94	116.35
2372.8	1.67	123.23
2373	1.62	129.75
2373.2	1.81	92.47
2373.4	2.40	88.87
2373.6	1.58	99.44
2373.8	1.56	113.55
2374	1.72	121.96
2374.2	4.83	135.26
2374.4	1.58	138.08
2374.6	0.96	138.25
2374.8	0.95	138.25
2375	0.95	138.4
2375.2	0.95	138.58
2375.4	0.95	138.63
2375.6	0.95	138.67
2375.8	0.49	141.09
2376	0.48	141.84
2376.2	0.46	141.88
2376.4	0.47	141.98
2376.6	0.47	144.37
2376.8	0.48	147.47
2377	0.48	149.96
2377.2	0.48	152.43
2377.4	0.47	152.57
2377.6	0.47	155.67
2377.8	0.47	158.76
2378	0.46	159.03
2378.2	0.45	159.13
2378.4	0.44	159.23
2378.6	0.44	163.15
2378.8	0.44	170.57
2379	0.45	173.38
2379.2	0.45	175.04
2379.4	0.45	176.66
2379.6	0.45	180.03
2379.8	0.45	180.29
2380	0.44	180.43
2380.2	0.44	180.69
2380.4	0.44	183.75
2380.6	0.44	183.99
2380.8	0.45	184.18
2381	4.24	184.27
2381.2	4.38	134.31
2381.4	2.74	134.18
2381.6	2.74	131.95
2381.8	8.56	131.61
2382	8.46	128.03
2382.2	5.93	125.63
2382.4	5.22	80.67
2382.6	4.56	113.91
2382.8	5.23	121.44
2383	4.43	124.76
2383.2	3.28	124.97
2383.4	3.00	125
2383.6	4.06	125.09
2383.8	2.28	65.6
2384	0.95	65.55
2384.2	0.95	65.56
2384.4	0.95	65.56
2384.6	0.95	65.56
2384.8	0.95	66.22
2385	0.54	68.74
2385.2	0.53	76.9
2385.4	0.50	84.19
2385.6	0.50	97.09
2385.8	0.51	110
2386	0.51	113.56
2386.2	0.51	128.59
2386.4	0.51	149.5
2386.6	0.52	156.89
2386.8	0.52	160.54
2387	0.52	164.17
2387.2	0.52	174.94
2387.4	0.50	177.61
2387.6	0.50	180.15
2387.8	0.50	183.98
2388	0.50	186.93
2388.2	0.49	189.35
2388.4	0.48	197.61
2388.6	0.47	197.74
2388.8	0.47	198.57
2389	0.47	198.7
2389.2	0.48	201.85
2389.4	0.48	202.06
2389.6	0.48	202.25
2389.8	0.48	202.57
2390	3.29	134.98
2390.2	4.35	134.29
2390.4	5.63	131.59
2390.6	4.99	134
2390.8	5.95	134
2391	4.91	134.8
2391.2	3.77	137.37
2391.4	3.55	139.89
2391.6	3.08	140.71
2391.8	5.40	141.15
2392	4.41	143.68
2392.2	4.70	70.05
2392.4	5.42	120.41
2392.6	8.54	153.09
2392.8	2.56	156.54
2393	0.93	161.52
2393.2	0.69	161.74
2393.4	0.69	164.22
2393.6	0.51	175.65
2393.8	0.51	178.33
2394	0.48	178.36
2394.2	0.47	170.87
2394.4	0.47	180.56
2394.6	0.47	181.05
2394.8	0.47	183.61
2395	0.47	186.2
2395.2	0.47	188.91
2395.4	0.47	192.22
2395.6	0.47	194.89
2395.8	0.47	200.37
2396	0.47	212.19
2396.2	0.47	215.33
2396.4	0.47	219.58
2396.6	0.47	222.14
2396.8	0.47	223.98
2397	0.46	225.82
2397.2	0.46	230
2397.4	0.46	232.12
2397.6	0.45	239.58
2397.8	0.45	239.85
2398	0.45	242.65
2398.2	0.45	243.51
2398.4	0.44	251.61
2398.6	0.44	257.06
2398.8	0.44	257.41
2399	0.46	258.07
2399.2	0.46	270.25
2399.4	0.46	273.06
2399.6	0.46	273.22
2399.8	0.46	273.42
2400	0.47	273.63
2400.2	2.34	139.72
2400.4	2.38	128.29
2400.6	0.92	164.96
2400.8	0.89	167.05
2401	0.89	168.37
2401.2	0.55	168.56
2401.4	0.54	172.2
2401.6	0.51	175.45
2401.8	0.50	180.56
2402	0.50	180.79
2402.2	0.49	180.9
2402.4	0.49	184.01
2402.6	0.49	184.22
2402.8	0.49	186.92
2403	0.49	191.89
2403.2	0.49	196.85
2403.4	0.48	202.87
2403.6	0.48	207.76
2403.8	0.48	211.82
2404	0.49	184.86
2404.2	0.49	190.19
2404.4	0.49	225.33
2404.6	0.49	92.83
2404.8	0.49	232.52
2405	0.49	248.74
2405.2	0.49	254.22
2405.4	0.48	262.7
2405.6	0.48	265.39
2405.8	0.48	267.04
2406	0.48	272.67
2406.2	0.48	279.53
2406.4	0.47	286.39
2406.6	0.48	289.36
2406.8	0.50	292.3
2407	0.51	294.86
2407.2	0.51	296.26
2407.4	0.51	297.65
2407.6	0.51	297.96
2407.8	0.51	303.81
2408	0.51	306.98
2408.2	0.49	306.7
2408.4	0.49	306.77
2408.6	0.49	307.04
2408.8	3.94	160.23
2409	1.27	156.45
2409.2	26.69	155.79
2409.4	8.30	145.07
2409.6	10.64	144.2
2409.8	3.80	144.57
2410	3.08	144.55
2410.2	3.07	147.52
2410.4	3.07	147.55
2410.6	3.07	147.55
2410.8	0.63	149.92
2411	0.60	150.25
2411.2	0.60	150.55
2411.4	0.52	153.52
2411.6	0.53	153.55
2411.8	0.52	155.92
2412	0.50	127.49
2412.2	0.48	129.52
2412.4	0.48	129.55
2412.6	0.48	129.55
2412.8	0.48	134.29
2413	0.48	134.35
2413.2	0.48	134.35
2413.4	0.48	134.35
2413.6	0.48	134.35
2413.8	0.48	152.69
2414	0.48	171.28
2414.2	0.48	171.55
2414.4	0.48	171.55
2414.6	0.48	171.55
2414.8	0.48	171.55
2415	0.48	171.55
2415.2	0.48	171.55
2415.4	0.49	176.86
2415.6	0.49	96.32
2415.8	0.49	94.83
2416	0.49	94.58
2416.2	0.49	94.54
2416.4	0.50	94.49
2416.6	0.49	91.96
2416.8	0.49	91.91
2417	0.49	91.86
2417.2	0.49	91.28
2417.4	0.48	91.89
2417.6	0.48	93.9
2417.8	0.48	107.43
2418	0.48	121.18
2418.2	0.48	135.39
2418.4	0.48	147.38
2418.6	0.51	183.16
2418.8	2.29	183.89
2419	0.91	183.88
2419.2	0.88	183.89
2419.4	0.71	183.92
2419.6	0.53	183.95
2419.8	0.53	183.96
2420	0.53	184.03
2420.2	0.53	184.13
2420.4	0.49	184.18
2420.6	0.49	184.26
2420.8	0.49	184.33
2421	0.49	184.33
2421.2	0.49	185.04
2421.4	0.49	186.33
2421.6	0.50	187.63
2421.8	0.51	191.39
2422	0.51	191.48
2422.2	0.51	192.07
2422.4	0.51	192.08
2422.6	0.49	194.42
2422.8	0.50	199.16
2423	0.50	201.62
2423.2	0.50	206.94
2423.4	0.50	210.59
2423.6	0.50	214.19
2423.8	0.50	214.86
2424	0.53	217.22
2424.2	0.53	219.6
2424.4	0.51	224.91
2424.6	0.50	225.06
2424.8	0.50	225.06
2425	0.50	159.73
2425.2	0.50	92.55
2425.4	0.50	227.08
2425.6	0.50	233.39
2425.8	0.50	235.79
2426	0.50	238.19
2426.2	0.49	240.59
2426.4	0.49	241.24
2426.6	0.49	243.52
2426.8	0.49	245.92
2427	0.49	245.99
2427.2	0.49	245.99
2427.4	0.49	245.99
2427.6	6.14	245.99
2427.8	3.62	209.37
2428	3.53	208.19
2428.2	3.53	207.61
2428.4	0.66	205.24
